Assembly	Scaffolds
# contigs (>= 0 bp)	6
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31619
Total length (>= 1000 bp)	30741
Total length (>= 5000 bp)	27430
Total length (>= 10000 bp)	12595
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	12595
Total length	31439
Reference length	29903
GC (%)	37.89
Reference GC (%)	37.97
N50	8197
NG50	8197
N75	6638
NG75	6638
L50	2
LG50	2
L75	3
LG75	3
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	12595
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.080
Duplication ratio	1.061
# N's per 100 kbp	0.00
# mismatches per 100 kbp	47.25
# indels per 100 kbp	0.00
# genomic features	32 + 17 part
Largest alignment	11917
Total aligned length	31427
NA50	8196
NGA50	8196
NA75	6638
NGA75	6638
LA50	2
LGA50	2
LA75	3
LGA75	3
