Assembly	Scaffolds
# contigs (>= 0 bp)	13
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	27632
Total length (>= 1000 bp)	25754
Total length (>= 5000 bp)	11252
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	10
Largest contig	5882
Total length	27185
Reference length	29903
GC (%)	38.15
Reference GC (%)	37.97
N50	4950
NG50	4950
N75	2514
NG75	1816
L50	3
LG50	3
L75	5
LG75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	2
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	87.336
Duplication ratio	1.041
# N's per 100 kbp	404.63
# mismatches per 100 kbp	45.95
# indels per 100 kbp	26.80
# genomic features	28 + 13 part
Largest alignment	5535
Total aligned length	26675
NA50	4950
NGA50	4950
NA75	2358
NGA75	1816
LA50	3
LGA50	3
LA75	5
LGA75	6
