Assembly	SRR11577837_scaffolds
# contigs (>= 0 bp)	48
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31961
Total length (>= 1000 bp)	12452
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	20
Largest contig	3046
Total length	21504
Reference length	29903
GC (%)	38.43
Reference GC (%)	37.97
N50	1000
NG50	982
N75	718
L50	7
LG50	11
L75	12
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	70.080
Duplication ratio	1.026
# N's per 100 kbp	0.00
# mismatches per 100 kbp	9.54
# indels per 100 kbp	0.00
# genomic features	20 + 25 part
Largest alignment	3046
Total aligned length	21504
NA50	1000
NGA50	982
NA75	718
LA50	7
LGA50	11
LA75	12
