Assembly	Scaffolds
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	38154
Total length (>= 1000 bp)	38154
Total length (>= 5000 bp)	35325
Total length (>= 10000 bp)	27764
Total length (>= 25000 bp)	27764
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	27764
Total length	38154
Reference length	29903
GC (%)	37.24
Reference GC (%)	37.97
N50	27764
NG50	27764
N75	7561
NG75	27764
L50	1
LG50	1
L75	2
LG75	1
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	27764
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.131
Duplication ratio	1.300
# N's per 100 kbp	0.00
# mismatches per 100 kbp	27.26
# indels per 100 kbp	3.41
# genomic features	40 + 9 part
Largest alignment	22447
Total aligned length	38152
NA50	22447
NGA50	22447
NA75	7561
NGA75	22447
LA50	1
LGA50	1
LA75	2
LGA75	1
