Assembly	SRR11578126_scaffolds
# contigs (>= 0 bp)	47
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	32205
Total length (>= 1000 bp)	12274
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	22
Largest contig	2063
Total length	22828
Reference length	29903
GC (%)	38.08
Reference GC (%)	37.97
N50	1258
NG50	968
N75	707
NG75	613
L50	8
LG50	11
L75	14
LG75	22
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	73.865
Duplication ratio	1.034
# N's per 100 kbp	0.00
# mismatches per 100 kbp	22.64
# indels per 100 kbp	0.00
# genomic features	16 + 21 part
Largest alignment	2063
Total aligned length	22792
NA50	1258
NGA50	968
NA75	706
NGA75	613
LA50	8
LGA50	11
LA75	14
LGA75	22
