Assembly	Scaffolds
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31652
Total length (>= 1000 bp)	31652
Total length (>= 5000 bp)	28002
Total length (>= 10000 bp)	19933
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	19933
Total length	31652
Reference length	29903
GC (%)	38.12
Reference GC (%)	37.97
N50	19933
NG50	19933
N75	8069
NG75	8069
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.813
Duplication ratio	1.060
# N's per 100 kbp	653.99
# mismatches per 100 kbp	36.85
# indels per 100 kbp	0.00
# genomic features	40 + 9 part
Largest alignment	19722
Total aligned length	31441
NA50	19722
NGA50	19722
NA75	8069
NGA75	8069
LA50	1
LGA50	1
LA75	2
LGA75	2
