Assembly	scaffolds
# contigs (>= 0 bp)	431
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	175565
Total length (>= 1000 bp)	29836
Total length (>= 5000 bp)	29836
Total length (>= 10000 bp)	29836
Total length (>= 25000 bp)	29836
Total length (>= 50000 bp)	0
# contigs	12
Largest contig	29836
Total length	36750
Reference length	29903
GC (%)	38.63
Reference GC (%)	37.97
N50	29836
NG50	29836
N75	29836
NG75	29836
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	11 + 0 part
Unaligned length	6914
Genome fraction (%)	99.722
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	26.83
# indels per 100 kbp	0.00
# genomic features	48 + 1 part
Largest alignment	29820
Total aligned length	29820
NA50	29820
NGA50	29820
NA75	29820
NGA75	29820
LA50	1
LGA50	1
LA75	1
LGA75	1
