Assembly	Scaffolds
# contigs (>= 0 bp)	13
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	28536
Total length (>= 1000 bp)	25665
Total length (>= 5000 bp)	11705
Total length (>= 10000 bp)	11705
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	9
Largest contig	11705
Total length	27298
Reference length	29903
GC (%)	37.89
Reference GC (%)	37.97
N50	3929
NG50	3929
N75	1939
NG75	1861
L50	2
LG50	2
L75	4
LG75	5
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	1939
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	90.205
Duplication ratio	1.012
# N's per 100 kbp	0.00
# mismatches per 100 kbp	3.71
# indels per 100 kbp	7.41
# genomic features	28 + 21 part
Largest alignment	11703
Total aligned length	27296
NA50	3929
NGA50	3929
NA75	1861
NGA75	1766
LA50	2
LGA50	2
LA75	4
LGA75	5
