Assembly	Scaffolds
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	37134
Total length (>= 1000 bp)	37134
Total length (>= 5000 bp)	37134
Total length (>= 10000 bp)	37134
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	22350
Total length	37134
Reference length	29903
GC (%)	38.33
Reference GC (%)	37.97
N50	22350
NG50	22350
N75	14784
NG75	14784
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	14784
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.482
Duplication ratio	1.248
# N's per 100 kbp	0.00
# mismatches per 100 kbp	26.89
# indels per 100 kbp	0.00
# genomic features	44 + 5 part
Largest alignment	22350
Total aligned length	37134
NA50	22350
NGA50	22350
NA75	7398
NGA75	7398
LA50	1
LGA50	1
LA75	2
LGA75	2
