Assembly	Scaffolds
# contigs (>= 0 bp)	6
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	34103
Total length (>= 1000 bp)	32296
Total length (>= 5000 bp)	32296
Total length (>= 10000 bp)	26549
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	14397
Total length	33868
Reference length	29903
GC (%)	37.68
Reference GC (%)	37.97
N50	12152
NG50	12152
N75	12152
NG75	12152
L50	2
LG50	2
L75	2
LG75	2
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	12152
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	93.268
Duplication ratio	1.214
# N's per 100 kbp	0.00
# mismatches per 100 kbp	57.37
# indels per 100 kbp	7.17
# genomic features	20 + 21 part
Largest alignment	14397
Total aligned length	33868
NA50	7026
NGA50	7026
NA75	5747
NGA75	5747
LA50	2
LGA50	2
LA75	3
LGA75	3
