Assembly	SRR11622211_scaffolds
# contigs (>= 0 bp)	50
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31506
Total length (>= 1000 bp)	11706
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	21
Largest contig	2171
Total length	21452
Reference length	29903
GC (%)	38.12
Reference GC (%)	37.97
N50	1021
NG50	939
N75	708
L50	8
LG50	12
L75	13
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	70.013
Duplication ratio	1.025
# N's per 100 kbp	0.00
# mismatches per 100 kbp	33.44
# indels per 100 kbp	0.00
# genomic features	20 + 21 part
Largest alignment	2171
Total aligned length	21431
NA50	1021
NGA50	939
NA75	708
LA50	8
LGA50	12
LA75	13
