Assembly	SRR12173405_scaffolds
# contigs (>= 0 bp)	6
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29554
Total length (>= 1000 bp)	29397
Total length (>= 5000 bp)	24940
Total length (>= 10000 bp)	16404
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	16404
Total length	29397
Reference length	29903
GC (%)	38.05
Reference GC (%)	37.97
N50	16404
NG50	16404
N75	8536
NG75	8536
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.271
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	37.43
# indels per 100 kbp	3.40
# genomic features	40 + 9 part
Largest alignment	16404
Total aligned length	29397
NA50	16404
NGA50	16404
NA75	8536
NGA75	8536
LA50	1
LGA50	1
LA75	2
LGA75	2
