Assembly	Scaffolds
# contigs (>= 0 bp)	4
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29779
Total length (>= 1000 bp)	29607
Total length (>= 5000 bp)	29607
Total length (>= 10000 bp)	16997
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	16997
Total length	29607
Reference length	29903
GC (%)	38.01
Reference GC (%)	37.97
N50	16997
NG50	16997
N75	7331
NG75	7331
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.010
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	30.40
# indels per 100 kbp	0.00
# genomic features	36 + 13 part
Largest alignment	16997
Total aligned length	29607
NA50	16997
NGA50	16997
NA75	7331
NGA75	7331
LA50	1
LGA50	1
LA75	2
LGA75	2
