Assembly	Scaffolds
# contigs (>= 0 bp)	6
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31591
Total length (>= 1000 bp)	31050
Total length (>= 5000 bp)	27889
Total length (>= 10000 bp)	11062
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	11062
Total length	31050
Reference length	29903
GC (%)	38.00
Reference GC (%)	37.97
N50	9792
NG50	9792
N75	7035
NG75	7035
L50	2
LG50	2
L75	3
LG75	3
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	7035
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.127
Duplication ratio	1.069
# N's per 100 kbp	0.00
# mismatches per 100 kbp	41.32
# indels per 100 kbp	6.89
# genomic features	36 + 13 part
Largest alignment	11062
Total aligned length	30898
NA50	9640
NGA50	9640
NA75	6744
NGA75	6744
LA50	2
LGA50	2
LA75	3
LGA75	3
