Assembly	Scaffolds
# contigs (>= 0 bp)	6
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	28004
Total length (>= 1000 bp)	27307
Total length (>= 5000 bp)	22281
Total length (>= 10000 bp)	11615
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	6
Largest contig	11615
Total length	28004
Reference length	29903
GC (%)	37.95
Reference GC (%)	37.97
N50	5345
NG50	5345
N75	5321
NG75	3032
L50	2
LG50	2
L75	3
LG75	4
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	92.018
Duplication ratio	1.018
# N's per 100 kbp	0.00
# mismatches per 100 kbp	25.44
# indels per 100 kbp	0.00
# genomic features	36 + 13 part
Largest alignment	11614
Total aligned length	28002
NA50	5345
NGA50	5345
NA75	5321
NGA75	3032
LA50	2
LGA50	2
LA75	3
LGA75	4
