Assembly	SRR12045928_scaffolds
# contigs (>= 0 bp)	39
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	32012
Total length (>= 1000 bp)	29094
Total length (>= 5000 bp)	29094
Total length (>= 10000 bp)	29094
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	18808
Total length	29610
Reference length	29903
GC (%)	38.38
Reference GC (%)	37.97
N50	18808
NG50	18808
N75	10286
NG75	10286
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	1 + 0 part
Unaligned length	516
Genome fraction (%)	97.127
Duplication ratio	1.002
# N's per 100 kbp	168.86
# mismatches per 100 kbp	41.32
# indels per 100 kbp	0.00
# genomic features	40 + 9 part
Largest alignment	18758
Total aligned length	29044
NA50	18758
NGA50	18758
NA75	10286
NGA75	10286
LA50	1
LGA50	1
LA75	2
LGA75	2
