Assembly	Scaffolds
# contigs (>= 0 bp)	80
# contigs (>= 1000 bp)	9
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	45596
Total length (>= 1000 bp)	27686
Total length (>= 5000 bp)	14286
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	15
Largest contig	8299
Total length	31332
Reference length	29903
GC (%)	38.69
Reference GC (%)	37.97
N50	4269
NG50	4269
N75	1405
NG75	1983
L50	3
LG50	3
L75	6
LG75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	4 + 0 part
Unaligned length	2193
Genome fraction (%)	91.365
Duplication ratio	1.067
# N's per 100 kbp	0.00
# mismatches per 100 kbp	21.96
# indels per 100 kbp	51.24
# genomic features	36 + 13 part
Largest alignment	8299
Total aligned length	29138
NA50	4269
NGA50	4269
NA75	1405
NGA75	1983
LA50	3
LGA50	3
LA75	6
LGA75	5
