Assembly	SRR11676287_scaffolds
# contigs (>= 0 bp)	7
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30434
Total length (>= 1000 bp)	29630
Total length (>= 5000 bp)	29630
Total length (>= 10000 bp)	29630
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	19317
Total length	29630
Reference length	29903
GC (%)	38.07
Reference GC (%)	37.97
N50	19317
NG50	19317
N75	10313
NG75	10313
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.669
Duplication ratio	1.004
# N's per 100 kbp	168.75
# mismatches per 100 kbp	13.56
# indels per 100 kbp	3.39
# genomic features	44 + 5 part
Largest alignment	19228
Total aligned length	29541
NA50	19228
NGA50	19228
NA75	10313
NGA75	10313
LA50	1
LGA50	1
LA75	2
LGA75	2
