Assembly	SRR12162329_scaffolds
# contigs (>= 0 bp)	23
# contigs (>= 1000 bp)	11
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	26401
Total length (>= 1000 bp)	20610
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	16
Largest contig	3304
Total length	24034
Reference length	29903
GC (%)	38.06
Reference GC (%)	37.97
N50	1910
NG50	1582
N75	1313
NG75	653
L50	6
LG50	7
L75	9
LG75	14
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	80.249
Duplication ratio	1.002
# N's per 100 kbp	4.16
# mismatches per 100 kbp	20.84
# indels per 100 kbp	4.17
# genomic features	28 + 17 part
Largest alignment	3304
Total aligned length	23995
NA50	1871
NGA50	1582
NA75	1313
NGA75	653
LA50	6
LGA50	7
LA75	9
LGA75	14
