Assembly	Scaffolds
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	33274
Total length (>= 1000 bp)	33274
Total length (>= 5000 bp)	33274
Total length (>= 10000 bp)	26717
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	15076
Total length	33274
Reference length	29903
GC (%)	38.40
Reference GC (%)	37.97
N50	11641
NG50	15076
N75	11641
NG75	11641
L50	2
LG50	1
L75	2
LG75	2
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	15076
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.833
Duplication ratio	1.115
# N's per 100 kbp	0.00
# mismatches per 100 kbp	20.10
# indels per 100 kbp	10.05
# genomic features	40 + 9 part
Largest alignment	14067
Total aligned length	33270
NA50	11640
NGA50	11640
NA75	11640
NGA75	11640
LA50	2
LGA50	2
LA75	2
LGA75	2
