Assembly	SRR11622211_scaffolds
# contigs (>= 0 bp)	21
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29924
Total length (>= 1000 bp)	26772
Total length (>= 5000 bp)	25168
Total length (>= 10000 bp)	11761
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7
Largest contig	11761
Total length	29082
Reference length	29903
GC (%)	37.91
Reference GC (%)	37.97
N50	8284
NG50	8284
N75	5123
NG75	5123
L50	2
LG50	2
L75	3
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	94.773
Duplication ratio	1.026
# N's per 100 kbp	34.39
# mismatches per 100 kbp	35.29
# indels per 100 kbp	7.06
# genomic features	28 + 21 part
Largest alignment	11761
Total aligned length	29082
NA50	8284
NGA50	8284
NA75	5123
NGA75	5123
LA50	2
LGA50	2
LA75	3
LGA75	3
