Assembly	SRR11772246_scaffolds
# contigs (>= 0 bp)	5
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29693
Total length (>= 1000 bp)	29693
Total length (>= 5000 bp)	21933
Total length (>= 10000 bp)	15823
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	15823
Total length	29693
Reference length	29903
GC (%)	38.03
Reference GC (%)	37.97
N50	15823
NG50	15823
N75	3487
NG75	3487
L50	1
LG50	1
L75	3
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.813
Duplication ratio	1.005
# N's per 100 kbp	0.00
# mismatches per 100 kbp	27.07
# indels per 100 kbp	0.00
# genomic features	32 + 13 part
Largest alignment	15823
Total aligned length	29693
NA50	15823
NGA50	15823
NA75	3487
NGA75	3487
LA50	1
LGA50	1
LA75	3
LGA75	3
