Assembly	SRR11851944_scaffolds
# contigs (>= 0 bp)	402
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	97138
Total length (>= 1000 bp)	5438
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	28
Largest contig	1826
Total length	21074
Reference length	29903
GC (%)	42.89
Reference GC (%)	37.97
N50	727
NG50	599
N75	561
L50	11
LG50	17
L75	19
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	18 + 0 part
Unaligned length	14569
Genome fraction (%)	21.356
Duplication ratio	1.019
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	0.00
# genomic features	0 + 21 part
Largest alignment	957
Total aligned length	6505
NGA50	-
