Assembly	SRR11826966_scaffolds
# contigs (>= 0 bp)	83
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	37983
Total length (>= 1000 bp)	30327
Total length (>= 5000 bp)	29048
Total length (>= 10000 bp)	23521
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7
Largest contig	23521
Total length	33547
Reference length	29903
GC (%)	38.39
Reference GC (%)	37.97
N50	23521
NG50	23521
N75	5527
NG75	23521
L50	1
LG50	1
L75	2
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	4 + 0 part
Unaligned length	3771
Genome fraction (%)	99.498
Duplication ratio	1.001
# N's per 100 kbp	190.78
# mismatches per 100 kbp	23.53
# indels per 100 kbp	10.08
# genomic features	44 + 5 part
Largest alignment	23521
Total aligned length	29776
NA50	23521
NGA50	23521
NA75	5527
NGA75	23521
LA50	1
LGA50	1
LA75	2
LGA75	1
