Assembly	Scaffolds
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30533
Total length (>= 1000 bp)	30533
Total length (>= 5000 bp)	30533
Total length (>= 10000 bp)	21417
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	21417
Total length	30533
Reference length	29903
GC (%)	37.96
Reference GC (%)	37.97
N50	21417
NG50	21417
N75	9116
NG75	9116
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.726
Duplication ratio	1.024
# N's per 100 kbp	0.00
# mismatches per 100 kbp	20.12
# indels per 100 kbp	0.00
# genomic features	44 + 5 part
Largest alignment	21417
Total aligned length	30533
NA50	21417
NGA50	21417
NA75	9116
NGA75	9116
LA50	1
LGA50	1
LA75	2
LGA75	2
