Assembly	Scaffolds
# contigs (>= 0 bp)	5
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	32684
Total length (>= 1000 bp)	32102
Total length (>= 5000 bp)	31074
Total length (>= 10000 bp)	16931
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	16931
Total length	32684
Reference length	29903
GC (%)	37.92
Reference GC (%)	37.97
N50	16931
NG50	16931
N75	7610
NG75	7610
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	16931
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.251
Duplication ratio	1.124
# N's per 100 kbp	0.00
# mismatches per 100 kbp	51.58
# indels per 100 kbp	6.88
# genomic features	32 + 17 part
Largest alignment	13342
Total aligned length	32666
NA50	7610
NGA50	7610
NA75	6533
NGA75	6533
LA50	2
LGA50	2
LA75	3
LGA75	3
