Assembly	Scaffolds
# contigs (>= 0 bp)	1317
# contigs (>= 1000 bp)	25
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	242058
Total length (>= 1000 bp)	51251
Total length (>= 5000 bp)	8323
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	48
Largest contig	8323
Total length	66353
Reference length	29903
GC (%)	45.17
Reference GC (%)	37.97
N50	1591
NG50	3828
N75	1035
NG75	3032
L50	11
LG50	3
L75	24
LG75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	38 + 0 part
Unaligned length	38034
Genome fraction (%)	90.008
Duplication ratio	1.052
# N's per 100 kbp	944.95
# mismatches per 100 kbp	44.58
# indels per 100 kbp	14.86
# genomic features	24 + 21 part
Largest alignment	8323
Total aligned length	27251
NGA50	3828
NGA75	1973
LGA50	3
LGA75	6
