Assembly	SRR11826839_scaffolds
# contigs (>= 0 bp)	20
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	28914
Total length (>= 1000 bp)	28143
Total length (>= 5000 bp)	28143
Total length (>= 10000 bp)	28143
Total length (>= 25000 bp)	28143
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	28143
Total length	28143
Reference length	29903
GC (%)	37.56
Reference GC (%)	37.97
N50	28143
NG50	28143
N75	28143
NG75	28143
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	94.014
Duplication ratio	1.001
# N's per 100 kbp	408.63
# mismatches per 100 kbp	28.46
# indels per 100 kbp	10.67
# genomic features	36 + 5 part
Largest alignment	28143
Total aligned length	28143
NA50	28143
NGA50	28143
NA75	28143
NGA75	28143
LA50	1
LGA50	1
LA75	1
LGA75	1
