Assembly	SRR11728611_scaffolds
# contigs (>= 0 bp)	10
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29775
Total length (>= 1000 bp)	29552
Total length (>= 5000 bp)	25910
Total length (>= 10000 bp)	10294
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	10294
Total length	29552
Reference length	29903
GC (%)	38.03
Reference GC (%)	37.97
N50	8215
NG50	8215
N75	7401
NG75	7401
L50	2
LG50	2
L75	3
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.806
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	23.69
# indels per 100 kbp	0.00
# genomic features	40 + 9 part
Largest alignment	10294
Total aligned length	29552
NA50	8215
NGA50	8215
NA75	7401
NGA75	7401
LA50	2
LGA50	2
LA75	3
LGA75	3
