Assembly	SRR12045921_scaffolds
# contigs (>= 0 bp)	12
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30602
Total length (>= 1000 bp)	29137
Total length (>= 5000 bp)	26368
Total length (>= 10000 bp)	26368
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	15990
Total length	29721
Reference length	29903
GC (%)	38.03
Reference GC (%)	37.97
N50	15990
NG50	15990
N75	10378
NG75	10378
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.763
Duplication ratio	1.006
# N's per 100 kbp	336.46
# mismatches per 100 kbp	40.63
# indels per 100 kbp	3.39
# genomic features	36 + 13 part
Largest alignment	15990
Total aligned length	29671
NA50	15990
NGA50	15990
NA75	10328
NGA75	10328
LA50	1
LGA50	1
LA75	2
LGA75	2
