Assembly	SRR11577969_scaffolds
# contigs (>= 0 bp)	24
# contigs (>= 1000 bp)	9
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	27921
Total length (>= 1000 bp)	22315
Total length (>= 5000 bp)	5276
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	14
Largest contig	5276
Total length	25683
Reference length	29903
GC (%)	38.06
Reference GC (%)	37.97
N50	3452
NG50	1892
N75	1603
NG75	810
L50	3
LG50	4
L75	7
LG75	10
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	85.590
Duplication ratio	1.003
# N's per 100 kbp	0.00
# mismatches per 100 kbp	27.35
# indels per 100 kbp	0.00
# genomic features	20 + 21 part
Largest alignment	5276
Total aligned length	25683
NA50	3452
NGA50	1892
NA75	1603
NGA75	810
LA50	3
LGA50	4
LA75	7
LGA75	10
