Assembly	Scaffolds
# contigs (>= 0 bp)	8
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	36908
Total length (>= 1000 bp)	36774
Total length (>= 5000 bp)	26071
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7
Largest contig	9634
Total length	36774
Reference length	29903
GC (%)	37.75
Reference GC (%)	37.97
N50	9518
NG50	9518
N75	4515
NG75	6919
L50	2
LG50	2
L75	4
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.923
Duplication ratio	1.256
# N's per 100 kbp	0.00
# mismatches per 100 kbp	40.98
# indels per 100 kbp	23.91
# genomic features	36 + 9 part
Largest alignment	9634
Total aligned length	36644
NA50	9518
NGA50	9518
NA75	4515
NGA75	6793
LA50	2
LGA50	2
LA75	4
LGA75	3
