Assembly	scaffolds
# contigs (>= 0 bp)	29
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	24530
Total length (>= 1000 bp)	16427
Total length (>= 5000 bp)	5533
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	11
Largest contig	5533
Total length	18710
Reference length	29903
GC (%)	38.71
Reference GC (%)	37.97
N50	1596
NG50	1055
N75	1107
L50	3
LG50	7
L75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	62.251
Duplication ratio	1.005
# N's per 100 kbp	0.00
# mismatches per 100 kbp	21.49
# indels per 100 kbp	5.37
# genomic features	12 + 17 part
Largest alignment	5530
Total aligned length	18614
NA50	1574
NGA50	1004
NA75	1094
LA50	3
LGA50	7
LA75	6
