Assembly	SRR11869148_scaffolds
# contigs (>= 0 bp)	23
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	36286
Total length (>= 1000 bp)	32068
Total length (>= 5000 bp)	29334
Total length (>= 10000 bp)	22469
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	6
Largest contig	22469
Total length	33446
Reference length	29903
GC (%)	40.55
Reference GC (%)	37.97
N50	22469
NG50	22469
N75	6865
NG75	22469
L50	1
LG50	1
L75	2
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	4 + 0 part
Unaligned length	4112
Genome fraction (%)	97.328
Duplication ratio	1.008
# N's per 100 kbp	448.48
# mismatches per 100 kbp	30.92
# indels per 100 kbp	3.44
# genomic features	28 + 17 part
Largest alignment	22369
Total aligned length	29234
NA50	22369
NGA50	22369
NA75	6865
NGA75	6865
LA50	1
LGA50	1
LA75	2
LGA75	2
