Assembly	SRR12161819_scaffolds
# contigs (>= 0 bp)	50
# contigs (>= 1000 bp)	11
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30682
Total length (>= 1000 bp)	19501
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	22
Largest contig	3120
Total length	27366
Reference length	29903
GC (%)	38.05
Reference GC (%)	37.97
N50	1385
NG50	1231
N75	929
NG75	795
L50	7
LG50	8
L75	13
LG75	15
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	91.038
Duplication ratio	1.005
# N's per 100 kbp	3.65
# mismatches per 100 kbp	33.06
# indels per 100 kbp	3.67
# genomic features	24 + 25 part
Largest alignment	3120
Total aligned length	27366
NA50	1385
NGA50	1231
NA75	929
NGA75	795
LA50	7
LGA50	8
LA75	13
LGA75	15
