Assembly	SRR11578210_scaffolds
# contigs (>= 0 bp)	55
# contigs (>= 1000 bp)	6
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29803
Total length (>= 1000 bp)	24248
Total length (>= 5000 bp)	12095
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	10
Largest contig	6507
Total length	27095
Reference length	29903
GC (%)	37.87
Reference GC (%)	37.97
N50	4739
NG50	4739
N75	4487
NG75	1604
L50	3
LG50	3
L75	4
LG75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	90.603
Duplication ratio	1.000
# N's per 100 kbp	114.41
# mismatches per 100 kbp	29.53
# indels per 100 kbp	7.38
# genomic features	32 + 17 part
Largest alignment	6507
Total aligned length	27095
NA50	4739
NGA50	4739
NA75	4487
NGA75	1604
LA50	3
LGA50	3
LA75	4
LGA75	5
