Assembly	Scaffolds
# contigs (>= 0 bp)	4
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	28416
Total length (>= 1000 bp)	28416
Total length (>= 5000 bp)	23677
Total length (>= 10000 bp)	10008
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	10008
Total length	28416
Reference length	29903
GC (%)	37.99
Reference GC (%)	37.97
N50	7373
NG50	7373
N75	6296
NG75	6296
L50	2
LG50	2
L75	3
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	95.021
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	35.19
# indels per 100 kbp	0.00
# genomic features	36 + 13 part
Largest alignment	10008
Total aligned length	28414
NA50	7373
NGA50	7373
NA75	6294
NGA75	6294
LA50	2
LGA50	2
LA75	3
LGA75	3
