Assembly	Scaffolds
# contigs (>= 0 bp)	24
# contigs (>= 1000 bp)	12
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	33882
Total length (>= 1000 bp)	27389
Total length (>= 5000 bp)	10514
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	19
Largest contig	5489
Total length	32204
Reference length	29903
GC (%)	37.64
Reference GC (%)	37.97
N50	2303
NG50	2347
N75	1165
NG75	1469
L50	5
LG50	4
L75	10
LG75	8
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	5489
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	6
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	86.637
Duplication ratio	1.243
# N's per 100 kbp	3161.10
# mismatches per 100 kbp	38.60
# indels per 100 kbp	0.00
# genomic features	16 + 29 part
Largest alignment	4812
Total aligned length	31163
NA50	1870
NGA50	2018
NA75	1115
NGA75	1165
LA50	6
LGA50	5
LA75	11
LGA75	10
