Assembly	Scaffolds
# contigs (>= 0 bp)	8
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31258
Total length (>= 1000 bp)	31258
Total length (>= 5000 bp)	18119
Total length (>= 10000 bp)	11132
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	8
Largest contig	11132
Total length	31258
Reference length	29903
GC (%)	38.17
Reference GC (%)	37.97
N50	6987
NG50	6987
N75	2556
NG75	4694
L50	2
LG50	2
L75	4
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	94.847
Duplication ratio	1.102
# N's per 100 kbp	0.00
# mismatches per 100 kbp	56.41
# indels per 100 kbp	0.00
# genomic features	32 + 17 part
Largest alignment	11132
Total aligned length	31258
NA50	6987
NGA50	6987
NA75	2556
NGA75	4694
LA50	2
LGA50	2
LA75	4
LGA75	3
