Assembly	SRR11813146_scaffolds
# contigs (>= 0 bp)	24
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31196
Total length (>= 1000 bp)	27158
Total length (>= 5000 bp)	27158
Total length (>= 10000 bp)	16544
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	16544
Total length	28123
Reference length	29903
GC (%)	38.10
Reference GC (%)	37.97
N50	16544
NG50	16544
N75	5343
NG75	5271
L50	1
LG50	1
L75	2
LG75	3
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	16544
# local misassemblies	0
# scaffold gap ext. mis.	1
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	93.252
Duplication ratio	1.009
# N's per 100 kbp	679.16
# mismatches per 100 kbp	28.69
# indels per 100 kbp	0.00
# genomic features	32 + 13 part
Largest alignment	14314
Total aligned length	27932
NA50	14314
NGA50	5343
NA75	5271
NGA75	5271
LA50	1
LGA50	2
LA75	3
LGA75	3
