Assembly	Scaffolds
# contigs (>= 0 bp)	21
# contigs (>= 1000 bp)	14
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30781
Total length (>= 1000 bp)	27958
Total length (>= 5000 bp)	7017
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	16
Largest contig	7017
Total length	29124
Reference length	29903
GC (%)	37.77
Reference GC (%)	37.97
N50	1901
NG50	1901
N75	1427
NG75	1427
L50	5
LG50	5
L75	9
LG75	9
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	4
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	84.744
Duplication ratio	1.149
# N's per 100 kbp	2966.63
# mismatches per 100 kbp	39.46
# indels per 100 kbp	3.95
# genomic features	24 + 21 part
Largest alignment	6425
Total aligned length	27978
NA50	1901
NGA50	1901
NA75	1136
NGA75	1136
LA50	5
LGA50	5
LA75	10
LGA75	10
