Assembly	SRR11578126_scaffolds
# contigs (>= 0 bp)	15
# contigs (>= 1000 bp)	6
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30015
Total length (>= 1000 bp)	27192
Total length (>= 5000 bp)	14882
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	9
Largest contig	8613
Total length	29039
Reference length	29903
GC (%)	37.97
Reference GC (%)	37.97
N50	6269
NG50	4762
N75	2776
NG75	2538
L50	2
LG50	3
L75	4
LG75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	96.144
Duplication ratio	1.010
# N's per 100 kbp	0.00
# mismatches per 100 kbp	17.39
# indels per 100 kbp	3.48
# genomic features	24 + 21 part
Largest alignment	8613
Total aligned length	29039
NA50	6269
NGA50	4762
NA75	2776
NGA75	2538
LA50	2
LGA50	3
LA75	4
LGA75	5
