Assembly	Scaffolds
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29769
Total length (>= 1000 bp)	29769
Total length (>= 5000 bp)	24038
Total length (>= 10000 bp)	24038
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	24038
Total length	29769
Reference length	29903
GC (%)	37.99
Reference GC (%)	37.97
N50	24038
NG50	24038
N75	24038
NG75	24038
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.395
Duplication ratio	1.002
# N's per 100 kbp	0.00
# mismatches per 100 kbp	23.55
# indels per 100 kbp	10.09
# genomic features	40 + 9 part
Largest alignment	24037
Total aligned length	29768
NA50	24037
NGA50	24037
NA75	24037
NGA75	24037
LA50	1
LGA50	1
LA75	1
LGA75	1
