Assembly	Scaffolds
# contigs (>= 0 bp)	10
# contigs (>= 1000 bp)	9
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	28077
Total length (>= 1000 bp)	27260
Total length (>= 5000 bp)	10345
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	10
Largest contig	5185
Total length	28077
Reference length	29903
GC (%)	38.15
Reference GC (%)	37.97
N50	4818
NG50	4818
N75	2291
NG75	2291
L50	3
LG50	3
L75	6
LG75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	82.834
Duplication ratio	1.134
# N's per 100 kbp	131.78
# mismatches per 100 kbp	40.37
# indels per 100 kbp	0.00
# genomic features	32 + 17 part
Largest alignment	5185
Total aligned length	28022
NA50	4818
NGA50	4818
NA75	2291
NGA75	2291
LA50	3
LGA50	3
LA75	6
LGA75	6
