Assembly	scaffolds
# contigs (>= 0 bp)	614
# contigs (>= 1000 bp)	28
# contigs (>= 5000 bp)	4
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	196308
Total length (>= 1000 bp)	77368
Total length (>= 5000 bp)	29561
Total length (>= 10000 bp)	11225
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	69
Largest contig	11225
Total length	104677
Reference length	29903
GC (%)	42.70
Reference GC (%)	37.97
N50	2597
NG50	6654
N75	990
NG75	6426
L50	11
LG50	2
L75	30
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	61 + 0 part
Unaligned length	75707
Genome fraction (%)	94.840
Duplication ratio	1.022
# N's per 100 kbp	28.66
# mismatches per 100 kbp	24.68
# indels per 100 kbp	0.00
# genomic features	20 + 25 part
Largest alignment	11204
Total aligned length	28881
NGA50	6654
NGA75	5256
LGA50	2
LGA75	3
