Assembly	SRR11494696_scaffolds
# contigs (>= 0 bp)	4
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30179
Total length (>= 1000 bp)	29919
Total length (>= 5000 bp)	27860
Total length (>= 10000 bp)	22586
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	22586
Total length	29919
Reference length	29903
GC (%)	37.97
Reference GC (%)	37.97
N50	22586
NG50	22586
N75	22586
NG75	22586
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	3
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.840
Duplication ratio	1.012
# N's per 100 kbp	501.35
# mismatches per 100 kbp	20.30
# indels per 100 kbp	0.00
# genomic features	36 + 9 part
Largest alignment	22416
Total aligned length	29749
NA50	22416
NGA50	22416
NA75	5274
NGA75	5274
LA50	1
LGA50	1
LA75	2
LGA75	2
