Assembly	Scaffolds
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30238
Total length (>= 1000 bp)	30238
Total length (>= 5000 bp)	26839
Total length (>= 10000 bp)	19269
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	19269
Total length	30238
Reference length	29903
GC (%)	37.96
Reference GC (%)	37.97
N50	19269
NG50	19269
N75	7570
NG75	7570
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.776
Duplication ratio	1.013
# N's per 100 kbp	0.00
# mismatches per 100 kbp	26.81
# indels per 100 kbp	3.35
# genomic features	44 + 5 part
Largest alignment	19269
Total aligned length	30236
NA50	19269
NGA50	19269
NA75	7568
NGA75	7568
LA50	1
LGA50	1
LA75	2
LGA75	2
