Assembly	Scaffolds
# contigs (>= 0 bp)	71
# contigs (>= 1000 bp)	15
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	45722
Total length (>= 1000 bp)	28274
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	23
Largest contig	3549
Total length	33790
Reference length	29903
GC (%)	38.17
Reference GC (%)	37.97
N50	1805
NG50	2045
N75	1318
NG75	1395
L50	7
LG50	6
L75	13
LG75	11
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	5
# unaligned mis. contigs	0
# unaligned contigs	2 + 0 part
Unaligned length	1061
Genome fraction (%)	91.994
Duplication ratio	1.190
# N's per 100 kbp	2527.37
# mismatches per 100 kbp	65.43
# indels per 100 kbp	69.07
# genomic features	16 + 25 part
Largest alignment	3405
Total aligned length	31875
NA50	1491
NGA50	1805
NA75	1287
NGA75	1369
LA50	8
LGA50	7
LA75	14
LGA75	12
