Assembly	Scaffolds
# contigs (>= 0 bp)	7
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30874
Total length (>= 1000 bp)	29958
Total length (>= 5000 bp)	17043
Total length (>= 10000 bp)	17043
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	17043
Total length	29958
Reference length	29903
GC (%)	37.83
Reference GC (%)	37.97
N50	17043
NG50	17043
N75	3174
NG75	3174
L50	1
LG50	1
L75	3
LG75	3
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	4477
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	94.696
Duplication ratio	1.058
# N's per 100 kbp	944.66
# mismatches per 100 kbp	35.31
# indels per 100 kbp	10.59
# genomic features	28 + 17 part
Largest alignment	16760
Total aligned length	29675
NA50	16760
NGA50	16760
NA75	3174
NGA75	3174
LA50	1
LGA50	1
LA75	3
LGA75	3
