Assembly	SRR11563851_scaffolds
# contigs (>= 0 bp)	36
# contigs (>= 1000 bp)	12
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31905
Total length (>= 1000 bp)	26346
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	16
Largest contig	4776
Total length	29174
Reference length	29903
GC (%)	38.04
Reference GC (%)	37.97
N50	3040
NG50	3040
N75	1455
NG75	1217
L50	4
LG50	4
L75	8
LG75	9
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	95.863
Duplication ratio	1.018
# N's per 100 kbp	171.39
# mismatches per 100 kbp	27.91
# indels per 100 kbp	3.49
# genomic features	20 + 25 part
Largest alignment	4776
Total aligned length	29174
NA50	3040
NGA50	3040
NA75	1455
NGA75	1217
LA50	4
LGA50	4
LA75	8
LGA75	9
